shape,price,carat,color,clarity,type,cut
Radiant,1190,0.5,G,VS1,natural,0
Emerald,1320,0.5,D,VS1,natural,0
Round,3470,0.63,D,IF,natural,0
Round,1110,0.32,F,IF,natural,0
Round,3160,0.7,D,VS1,natural,1
Round,1920,0.63,I,VVS1,natural,0
Round,1850,0.5,F,VS2,natural,1
Oval,13080,1.5,D,VS2,natural,0
Pear,370,0.37,F,VS2,lab,1
Princess,530,0.3,E,VS1,natural,1
Round,2300,0.54,G,VVS1,natural,0
Round,800,0.62,H,VS1,lab,0
Emerald,1140,0.76,G,VS1,lab,0
Round,13560,1.72,H,VS2,natural,0
Round,2160,0.51,D,VVS1,natural,1
Pear,570,0.3,E,SI1,natural,0
Round,7970,1.15,G,VS2,natural,0
Cushion,3710,1.59,G,VS2,lab,0
Round,710,0.3,H,SI1,natural,0
Round,3420,0.9,I,VS2,natural,1
Pear,460,0.46,F,VS2,lab,1
Oval,5970,2.28,H,VS2,lab,0
Round,2060,1.11,H,VS1,lab,0
Round,1870,1.18,I,VS1,lab,0
Round,930,0.31,E,VS2,natural,0
Round,8720,1.01,E,VS2,natural,0
Round,2240,0.5,D,VS1,natural,0
Round,1360,0.5,E,SI2,natural,0
Oval,3940,1.2,E,SI2,natural,1
Round,1200,0.3,D,VVS1,natural,0
Heart,1780,1.01,H,VS2,lab,0
Round,620,0.25,E,VS1,natural,0
Round,1770,0.5,G,VS1,natural,1
Emerald,6800,2.05,G,SI1,lab,1
Round,800,0.3,J,IF,natural,1
Round,4150,0.57,D,IF,natural,0
Emerald,420,0.3,J,VS2,natural,0
Round,5980,1.0,F,VS1,natural,1
Round,880,0.31,D,SI1,natural,0
Oval,660,0.51,E,VS1,lab,0
Round,8030,1.0,F,VVS2,natural,1
Round,960,0.31,E,VVS2,natural,0
Round,1150,0.4,E,VVS2,natural,0
Marquise,5840,1.57,D,VS2,lab,1
Round,4440,1.05,I,SI2,natural,0
Oval,4510,2.0,H,SI2,lab,0
Round,2220,1.08,H,VS2,lab,0
Round,960,0.33,D,VVS1,natural,0
Round,2020,1.0,G,VS1,lab,1
Round,4950,1.2,I,SI2,natural,0
Round,2410,0.53,F,VS2,natural,0
Round,390,0.34,E,VS2,lab,0
Round,5270,2.55,J,SI1,lab,0
Round,4210,1.0,G,SI2,natural,0
Round,2550,0.71,E,SI2,natural,0
Round,2010,1.03,H,VVS2,lab,0
Oval,2280,1.0,E,VS2,lab,0
Round,1610,0.45,D,VVS2,natural,0
Round,460,0.41,H,VVS2,lab,0
Round,780,0.3,G,VS1,natural,0
Round,2460,1.11,H,VVS1,lab,0
Round,4840,1.1,H,SI1,natural,0
Oval,2900,1.71,J,VS2,lab,0
Emerald,1440,0.9,E,SI1,lab,0
Round,4030,1.0,J,VVS2,natural,0
Round,500,0.3,H,SI2,natural,1
Round,1880,1.14,I,VVS2,lab,0
Princess,2420,1.05,E,VS1,lab,0
Round,830,0.31,G,IF,natural,1
Round,790,0.31,E,VVS2,natural,0
Pear,4220,1.51,G,VS1,lab,1
Round,1560,0.41,E,VVS1,natural,0
Pear,460,0.41,D,VVS2,lab,1
Emerald,840,0.51,I,SI1,natural,0
Pear,1050,0.77,H,VS1,lab,0
Princess,3060,0.9,H,VS1,natural,0
Round,890,0.31,E,VVS1,natural,0
Round,1520,1.07,I,SI1,lab,0
Round,4100,1.2,H,SI2,natural,0
Round,620,0.27,F,VS2,natural,0
Heart,7840,1.0,D,IF,natural,0
Princess,4130,1.03,F,SI2,natural,0
Pear,1030,0.54,G,SI2,natural,0
Pear,1220,0.5,E,VS2,natural,0
Oval,710,0.51,D,VS2,lab,0
Round,740,0.3,G,VS2,natural,0
Round,4700,0.8,E,VS2,natural,0
Round,1070,0.3,D,VS1,natural,0
Round,6030,2.0,G,VS2,lab,0
Round,3780,1.52,G,SI1,lab,0
Round,2810,1.17,G,VVS2,lab,0
Round,2190,0.52,G,VVS2,natural,0
Round,360,0.31,E,VS1,lab,0
Round,1800,0.7,I,SI2,natural,1
Princess,510,0.3,F,SI1,natural,0
Round,1910,1.19,J,VS1,lab,0
Round,670,0.27,E,VS1,natural,0
Oval,4560,0.96,F,VS2,natural,1
Round,1540,1.12,J,VS1,lab,0
Pear,6520,1.09,G,VVS1,natural,0
Round,11000,1.8,H,SI2,natural,0
Round,1230,0.3,D,IF,natural,0
Emerald,1410,0.52,D,VVS2,natural,0
Round,3750,1.83,I,VS1,lab,0
Round,870,0.33,E,SI1,natural,0
Round,900,0.64,E,VS2,lab,1
Round,12420,1.3,F,IF,natural,0
Round,1340,0.5,H,SI2,natural,1
Round,610,0.5,E,VS2,lab,0
Round,7030,2.15,F,SI1,lab,0
Round,1620,0.91,G,VS1,lab,0
Round,2000,0.6,F,SI2,natural,0
Radiant,2430,1.06,E,VS1,lab,0
Round,2980,1.5,I,VVS2,lab,1
Princess,1830,0.91,F,VS1,lab,0
Cushion,9740,1.53,G,VS1,natural,0
Round,4320,0.92,H,VS2,natural,0
Round,10300,1.06,D,VS1,natural,0
Round,1330,0.52,I,SI1,natural,0
Princess,2020,1.0,E,SI1,lab,0
Round,4600,2.3,J,VS2,lab,0
Round,3350,1.77,I,VS2,lab,0
Round,1140,0.4,F,VS2,natural,1
Round,1460,1.02,J,VVS2,lab,0
Round,1520,0.81,G,VVS1,lab,0
Round,580,0.35,E,SI2,natural,0
Oval,6240,2.53,I,VS1,lab,0
Pear,900,0.7,I,VVS1,lab,0
Round,2830,0.83,F,SI1,natural,0
Round,2630,0.59,F,VVS2,natural,0
Round,1370,1.0,J,VS2,lab,1
Round,6350,1.0,H,SI1,natural,0
Round,1070,0.31,F,VVS1,natural,1
Pear,590,0.31,D,SI1,natural,0
Emerald,1510,0.5,F,VVS2,natural,0
Round,4250,0.71,D,VS1,natural,0
Round,900,0.32,E,SI1,natural,0
Round,2320,0.5,F,VS1,natural,0
